"model_group","lineage","latitude","longitude","Use","name"
"Alopoglossus_angulatus","Lineage_01","2.370351","-53.772252","1","Alop_BOHE010_ND4"
"Alopoglossus_angulatus","Lineage_01","2.46606","-55.62973","1","Alop_BPN2920_ND4"
"Alopoglossus_angulatus","Lineage_02","-2.609444444","-56.19611111","1","Alop_MPEG21853_ND4"
"Alopoglossus_angulatus","Lineage_03","-0.941666667","-53.23216667","1","Alop_MPEG27542_ND4"
"Alopoglossus_angulatus","Lineage_03","-0.939866667","-53.22743333","1","Alop_MPEG27543_ND4"
"Alopoglossus_angulatus","Lineage_04","0.833283333","-53.9368","1","Alop_MPEG27609_ND4"
"Alopoglossus_angulatus","Lineage_02","-2.609444444","-56.19611111","1","Alop_MPEG28239_ND4"
"Alopoglossus_angulatus","Lineage_05","-2.453055556","-56.15277778","1","Alop_MPEG28502_ND4"
"Alopoglossus_angulatus","Lineage_01","-4.483333333","-56.24880556","1","Alop_MPEG29468_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.48122222","1","Alop_MPEG29595_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429666667","-50.48430556","1","Alop_MPEG29596_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.47841667","1","Alop_MPEG29597_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.47841667","1","Alop_MPEG29598_ND4"
"Alopoglossus_angulatus","Lineage_04","-0.429944444","-50.47841667","1","Alop_MPEG29599_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.424919444","-50.49125833","1","Alop_MPEG29601_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.48122222","1","Alop_MPEG29602_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.48122222","1","Alop_MPEG29603_ND4"
"Alopoglossus_angulatus","Lineage_06","-0.429944444","-50.48122222","1","Alop_MPEG29604_ND4"
"Alopoglossus_angulatus","Lineage_03","-0.172083333","-51.77146667","1","Alop_MPEG29762_ND4"
"Alopoglossus_angulatus","Lineage_01","3.0919444","-52.7897222","1","Alop_PG314_ND4"
"Alopoglossus_angulatus","Lineage_05","-2.968948","-59.952284","1","Alop_WER491_ND4"
"Alopoglossus_atriventris","Lineage_03","-6.994669444","-63.08405278","1","Alop_INPAH28233_ND4"
"Alopoglossus_atriventris","Lineage_05","-6.994669444","-63.08405278","1","Alop_INPAH28234_ND4"
"Alopoglossus_atriventris","Lineage_03","-6.994669444","-63.08405278","1","Alop_INPAH28235_ND4"
"Alopoglossus_atriventris","Lineage_05","-6.994669444","-63.08405278","1","Alop_INPAH28239_ND4"
"Alopoglossus_atriventris","Lineage_03","-6.994669444","-63.08405278","1","Alop_INPAHT1391_ND4"
"Alopoglossus_atriventris","Lineage_03","-6.994669444","-63.08405278","1","Alop_INPAHT1398_ND4"
"Alopoglossus_atriventris","Lineage_03","-6.994669444","-63.08405278","1","Alop_INPAHT172_ND4"
"Alopoglossus_atriventris","Lineage_01","-5.71033333333333","-63.2039444444444","1","Alop_INPAHT4605_ND4"
"Alopoglossus_atriventris","Lineage_01","-5.71033333333333","-63.2039444444444","1","Alop_INPAHT4613_ND4"
"Alopoglossus_atriventris","Lineage_04","-4.980416667","-62.96083333","1","Alop_INPAHT4719_ND4"
"Alopoglossus_atriventris","Lineage_04","-4.967277778","-62.97772222","1","Alop_INPAHT4731_ND4"
"Alopoglossus_atriventris","Lineage_04","-4.979944444","-62.96930556","1","Alop_INPAHT4767_ND4"
"Alopoglossus_atriventris","Lineage_05","-6.994669444","-63.08405278","1","Alop_INPAHT572_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.84613888888889","-69.0295277777778","1","Alop_INPAHT9151_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.84613888888889","-69.0295277777778","1","Alop_INPAHT9153_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.84613888888889","-69.0295277777778","1","Alop_INPAHT9163_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.71880555555556","-69.1283611111111","1","Alop_INPAHT9175_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.71880555555556","-69.1283611111111","1","Alop_INPAHT9176_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.71880555555556","-69.1283611111111","1","Alop_INPAHT9201_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.71880555555556","-69.1283611111111","1","Alop_INPAHT9223_ND4"
"Alopoglossus_atriventris","Lineage_02","-1.84613888888889","-69.0295277777778","1","Alop_INPAHT9229_ND4"
"Anolis_chrysolepis","Lineage_02","-1.93138888888889","-58.2558333333333","1","Anol_HT2628_ND2"
"Anolis_chrysolepis","Lineage_02","-1.93138888888889","-58.2558333333333","1","Anol_HT3257_ND2"
"Anolis_chrysolepis","Lineage_02","-1.93138888888889","-58.2558333333333","1","Anol_HT3283_ND2"
"Anolis_chrysolepis","Lineage_02","-2.02527777777778","-58.19","1","Anol_HT4441_ND2"
"Anolis_chrysolepis","Lineage_02","-1.86819444444444","-58.2290277777778","1","Anol_HT4447_ND2"
"Anolis_chrysolepis","Lineage_02","-2.02527777777778","-58.19","1","Anol_HT4479_ND2"
"Anolis_chrysolepis","Lineage_02","-2.02527777777778","-58.19","1","Anol_HT4482_ND2"
"Anolis_chrysolepis","Lineage_01","-1.475148","-56.622479","1","Anol_HT5063_ND2"
"Anolis_chrysolepis","Lineage_01","-1.475148","-56.622479","1","Anol_HT5064_ND2"
"Anolis_chrysolepis","Lineage_01","-1.469729","-56.450385","1","Anol_HT5068_ND2"
"Anolis_chrysolepis","Lineage_01","-1.469729","-56.450385","1","Anol_HT5076_ND2"
"Anolis_chrysolepis","Lineage_01","-1.469729","-56.450385","1","Anol_HT5077_ND2"
"Anolis_chrysolepis","Lineage_01","-1.469729","-56.450385","1","Anol_HT5096_ND2"
"Anolis_chrysolepis","Lineage_01","-1.475148","-56.622479","1","Anol_HT5099_ND2"
"Anolis_chrysolepis","Lineage_01","-1.475148","-56.622479","1","Anol_HT5114_ND2"
"Anolis_chrysolepis","Lineage_01","-1.196286","-56.836579","1","Anol_HT5192_ND2"
"Anolis_chrysolepis","Lineage_06","-0.654046","-52.53089","1","Anol_HT672_ND2"
"Anolis_chrysolepis","Lineage_06","-0.643811","-52.531388","1","Anol_HT844_ND2"
"Anolis_chrysolepis","Lineage_05","-1.222064","-57.735073","1","Anol_JN191530_ND2"
"Anolis_chrysolepis","Lineage_05","1.75","-57.5","1","Anol_JN191531_ND2"
"Anolis_chrysolepis","Lineage_05","-0.552056","-56.324932","1","Anol_JN191532_ND2"
"Anolis_chrysolepis","Lineage_04","-0.975508","-54.407679","1","Anol_JN191533_ND2"
"Anolis_chrysolepis","Lineage_03","4.657896","-56.154368","1","Anol_JN191534_ND2"
"Anolis_chrysolepis","Lineage_03","4.657896","-56.154368","1","Anol_JN191535_ND2"
"Anolis_chrysolepis","Lineage_07","3.943189","-53.328824","1","Anol_JN191536_ND2"
"Anolis_chrysolepis","Lineage_07","4.03333333333333","-52.6833","1","Anol_JN191540_ND2"
"Anolis_chrysolepis","Lineage_07","3.943189","-53.328824","1","Anol_JN191541_ND2"
"Arthrosaura_reticulata","Lineage_01","2.753941","-58.597856","1","Arth_12125_ND4"
"Arthrosaura_reticulata","Lineage_01","-8.401448","-57.806329","1","Arth_968291_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.678218","-60.143302","1","Arth_977670_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.3244","-51.8587","1","Arth_BM332_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.3244","-51.8587","1","Arth_BM431_ND4"
"Arthrosaura_reticulata","Lineage_02","-3.3244","-51.8587","1","Arth_BM483_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.3232","-52.2518","1","Arth_BM620_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.3244","-51.8587","1","Arth_BM665_ND4"
"Arthrosaura_reticulata","Lineage_01","2.477","-55.62941","1","Arth_BPN2875_ND4"
"Arthrosaura_reticulata","Lineage_01","-11.6725","-61.193611","1","Arth_CHUNB18710_ND4"
"Arthrosaura_reticulata","Lineage_01","-10.782778","-65.339444","1","Arth_CHUNB22340_ND4"
"Arthrosaura_reticulata","Lineage_01","-10.782778","-65.339444","1","Arth_CHUNB22456_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34120_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34127_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34129_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34136_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34137_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34139_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34140_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34141_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34144_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB34145_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.147778","-55.381111","1","Arth_CHUNB40059_ND4"
"Arthrosaura_reticulata","Lineage_01","-7.853522","-47.92727","1","Arth_ESTR705_ND4"
"Arthrosaura_reticulata","Lineage_01","-8.550559","-63.706502","1","Arth_H2138_ND4"
"Arthrosaura_reticulata","Lineage_01","-8.550559","-63.706502","1","Arth_H2154_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H2245_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H2308_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.58459","-65.06928","1","Arth_H2603_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H2819_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H3250_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H3434_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H3623_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_H935_ND4"
"Arthrosaura_reticulata","Lineage_01","-8.550559","-63.706502","1","Arth_HJ0330_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.6391","-65.44911","1","Arth_HJ0660_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1647_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1659_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1688_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1752_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1753_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.79973","-60.137228","1","Arth_HT1780_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT3359_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT3548_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT4416_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT4422_2_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT4435_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.879026","-58.231973","1","Arth_HT4444_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.879026","-58.231973","1","Arth_HT4445_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.879026","-58.231973","1","Arth_HT4502_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.879026","-58.231973","1","Arth_HT4506_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4518_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4522_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4535_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4555_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4568_ND4"
"Arthrosaura_reticulata","Lineage_03","-0.005373","-64.717682","1","Arth_HT4573_3_ND4"
"Arthrosaura_reticulata","Lineage_04","-0.542222","-64.923056","1","Arth_HT4589_ND4"
"Arthrosaura_reticulata","Lineage_01","-5.949894","-63.156003","1","Arth_HT4640_ND4"
"Arthrosaura_reticulata","Lineage_05","-5.07662","-62.853694","1","Arth_HT4725_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.30901666666667","-55.3331","1","Arth_HT4817_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.34547222222222","-55.1966666666667","1","Arth_HT4852_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.34547222222222","-55.1966666666667","1","Arth_HT4941_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.34547222222222","-55.1966666666667","1","Arth_HT4964_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.33333333333333","-57.25","1","Arth_HT5065_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.33333333333333","-57.25","1","Arth_HT5075_2_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.33333333333333","-57.25","1","Arth_HT5081_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.33333333333333","-57.25","1","Arth_HT5092_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.48333333333333","-57.05","1","Arth_HT5222_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.33333333333333","-57.25","1","Arth_HT5229_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.478411","-57.888712","1","Arth_HT5284_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.44103","-51.27408","1","Arth_HT5808_ND4"
"Arthrosaura_reticulata","Lineage_06","-2.781777","-60.470748","1","Arth_HT82_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.781777","-60.470748","1","Arth_HT99_ND4"
"Arthrosaura_reticulata","Lineage_01","-9.5141","-58.6786","1","Arth_ISP347_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.726","-56.2329","1","Arth_LOMU24_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.4148","-57.6394","1","Arth_LOMU52_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.4148","-57.6389","1","Arth_LOMU74_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.3866","-57.6394","1","Arth_LOMU87_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.728016","-52.772404","1","Arth_MPEG22064_ND4"
"Arthrosaura_reticulata","Lineage_01","-0.874936","-52.535773","1","Arth_MPEG22866_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.464852","-56.38227","1","Arth_MPEG24762_ND4"
"Arthrosaura_reticulata","Lineage_01","-3.109226","-51.844296","1","Arth_MPEG25658_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.138367","-51.628118","1","Arth_MPEG25701_ND4"
"Arthrosaura_reticulata","Lineage_02","-7.302012","-55.428944","1","Arth_MPEG28467_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.534113","-56.399919","1","Arth_MPEG28501_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.247597","-56.001607","1","Arth_MPEG29061_ND4"
"Arthrosaura_reticulata","Lineage_01","-1.765416","-56.024377","1","Arth_MPEG29245_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.433355","-57.640473","1","Arth_MPEG29330_ND4"
"Arthrosaura_reticulata","Lineage_01","0.590515","-52.793207","1","Arth_MPEG29730_ND4"
"Arthrosaura_reticulata","Lineage_01","-2.444802","-60.860677","1","Arth_MSH10350_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12738_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12847_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12877_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12878_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12898_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12899_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12932_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12936_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.34416666666667","-58.635","1","Arth_MTR12978_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.30888888888889","-58.6363888888889","1","Arth_MTR13007_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.59694444444444","-58.2205555555556","1","Arth_MTR13032_ND4"
"Arthrosaura_reticulata","Lineage_01","-4.316438","-61.836587","1","Arth_MTR18852_ND4"
"Arthrosaura_reticulata","Lineage_01","-6.035725","-76.964594","1","Arth_MTR19117_ND4"
"Arthrosaura_reticulata","Lineage_01","3.859722","-51.761","1","Arth_MTR24100_ND4"
"Arthrosaura_reticulata","Lineage_01","3.859722","-51.761","1","Arth_MTR24177_ND4"
"Arthrosaura_reticulata","Lineage_01","2.307726","-51.628269","1","Arth_MTR24248_ND4"
"Arthrosaura_reticulata","Lineage_07","-2.516427","-58.362169","1","Arth_RF66_ND4"
"Arthrosaura_reticulata","Lineage_07","-2.71229","-58.21829","1","Arth_RF79_ND4"
"Arthrosaura_reticulata","Lineage_06","-2.74341","-58.1763","1","Arth_RF87_ND4"
"Cercosaura_argulus","Lineage_01","-5.69358333333333","-63.2127222222222","1","Cerco_HT4601_ND4"
"Cercosaura_argulus","Lineage_01","-1.75375","-60.2958055555556","1","Cerco_HT8347_ND4"
"Cercosaura_argulus","Lineage_01","-1.057284","-75.900592","1","Cerco_KP874900_ND4"
"Cercosaura_argulus","Lineage_01","-1.057284","-75.900592","1","Cerco_KP874901_ND4"
"Cercosaura_argulus","Lineage_01","-11.662122","-64.408124","1","Cerco_KY555362_ND4"
"Cercosaura_argulus","Lineage_01","-1.390265","-48.448873","1","Cerco_KY555431_ND4"
"Cnemidophorus_lemniscatus","Lineage_01","4.8172","-54.59094","1","Cnemi_AF2450_ND4"
"Cnemidophorus_lemniscatus","Lineage_01","4.8172","-54.59094","1","Cnemi_AF2451_ND4"
"Cnemidophorus_lemniscatus","Lineage_01","4.72462","-56.7638","1","Cnemi_AF3314_ND4"
"Cnemidophorus_lemniscatus","Lineage_01","4.72462","-56.7638","1","Cnemi_AF3395_ND4"
"Cnemidophorus_lemniscatus","Lineage_01","4.72462","-56.7638","1","Cnemi_AF3396_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","1.1891666666667","-60.181388888889","1","Cnemi_AMNH204229_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4841666666667","-54.952222222222","1","Cnemi_APL14035_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4841666666667","-54.952222222222","1","Cnemi_APL18285_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4841666666667","-54.952222222222","1","Cnemi_APL19780_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4841666666667","-54.952222222222","1","Cnemi_APL19785_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4886111111111","-54.831388888889","1","Cnemi_APL19859_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4886111111111","-54.831388888889","1","Cnemi_APL19880_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.4886111111111","-54.831388888889","1","Cnemi_APL19887_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.1605","-61.035033","1","Cnemi_FPWERNECK2557_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.1605","-61.035033","1","Cnemi_FPWERNECK2558_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2560_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2561_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2562_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2563_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2564_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2565_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2566_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2569_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2570_ND4"
"Cnemidophorus_lemniscatus","Lineage_04","2.152167","-61.0276","1","Cnemi_FPWERNECK2571_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2575_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2577_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2578_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2579_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2580_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2581_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2582_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2583_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2585_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2586_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2587_ND4"
"Cnemidophorus_lemniscatus","Lineage_03","-2.538358","-54.977797","1","Cnemi_FPWERNECK2591_ND4"
"Cnemidophorus_lemniscatus","Lineage_02","1.638088","-61.169193","1","Cnemi_HT1028_ND4"
"Cnemidophorus_lemniscatus","Lineage_05","1.638088","-61.169193","1","Cnemi_HT390_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.346275","-64.747228","1","Cnemi_HT7487_ND4"
"Cnemidophorus_lemniscatus","Lineage_06","-0.346276","-64.747229","1","Cnemi_HT7488_ND4"
